Value	Abbreviation	Standard Name	Units	Description	Code space	Code space Index
0		acoustic_signal_roundtrip_travel_time_in_sea_water	s	The quantity with standard name acoustic_signal_roundtrip_travel_time_in_sea_water is the time taken for an acoustic signal to propagate from the emitting instrument to a reflecting surface and back again to the instrument. In the case of an instrument based on the sea floor and measuring the roundtrip time to the sea surface, the data are commonly used as a measure of ocean heat content.	CF-44	
1		aerodynamic_particle_diameter	m	The diameter of a spherical particle with density 1000 kg m-3 having the same aerodynamic properties as the particles in question.	CF-44	
2		aerodynamic_resistance	m-1 s	The ''aerodynamic_resistance'' is the resistance to mixing through the boundary layer toward the surface by means of the dominant process, turbulent transport. Reference: Wesely, M. L., 1989,  doi:10.1016/0004-6981(89)90153-4.	CF-44	
3		age_of_sea_ice	year	Age of sea ice means the length of time elapsed since the ice formed.	CF-44	
4		age_of_stratospheric_air	s	Age of stratospheric air means an estimate of the time since a parcel of stratospheric air was last in contact with the troposphere.	CF-44	
5		age_of_surface_snow	day	Age of surface snow means the length of time elapsed since the snow accumulated on the earth's surface. The surface called ''surface'' means the lower boundary of the atmosphere.	CF-44	
6		air_density	kg m-3	NA	CF-44	
7		air_potential_temperature	K	Potential temperature is the temperature a parcel of air or sea water would have if moved adiabatically to sea level pressure.	CF-44	
8		air_pressure	Pa	NA	CF-44	
9		air_pressure_anomaly	Pa	anomaly means difference from climatology.	CF-44	
10		air_pressure_at_cloud_base	Pa	cloud_base refers to the base of the lowest cloud.	CF-44	
11		air_pressure_at_cloud_top	Pa	cloud_top refers to the top of the highest cloud.	CF-44	
12		air_pressure_at_convective_cloud_base	Pa	cloud_base refers to the base of the lowest cloud. Convective cloud is that produced by the convection schemes in an atmosphere model.	CF-44	
13		air_pressure_at_convective_cloud_top	Pa	cloud_top refers to the top of the highest cloud. Convective cloud is that produced by the convection schemes in an atmosphere model.	CF-44	
14		air_pressure_at_freezing_level	Pa	NA	CF-44	
15		air_pressure_at_sea_level	Pa	sea_level means mean sea level, which is close to the geoid in sea areas. Air pressure at sea level is the quantity often abbreviated as MSLP or PMSL.	CF-44	
16		air_temperature	K	Air temperature is the bulk temperature of the air, not the surface (skin) temperature.	CF-44	
17		air_temperature_anomaly	K	anomaly means difference from climatology. Air temperature is the bulk temperature of the air, not the surface (skin) temperature.	CF-44	
18		air_temperature_at_cloud_top	K	cloud_top refers to the top of the highest cloud. Air temperature is the bulk temperature of the air, not the surface (skin) temperature.	CF-44	
19		air_temperature_at_effective_cloud_top_defined_by_infrared_radiation	K	The ''effective cloud top defined by infrared radiation'' is (approximately) the geometric height above the surface that is one optical depth at infrared wavelengths (in the region of 11 micrometers) below the cloud top that would be detected by visible and lidar techniques. Reference: Minnis, P. et al 2011 CERES Edition-2 Cloud Property Retrievals Using TRMM VIRS and Terra and Aqua MODIS Data x2014	 Part I: Algorithms IEEE Transactions on Geoscience and Remote Sensing, 49(11), 4374-4400. doi: http://dx.doi.org/10.1109/TGRS.2011.2144601.	CF-44	
20		air_temperature_lapse_rate	K m-1	Air temperature is the bulk temperature of the air, not the surface (skin) temperature. A lapse rate is the negative derivative of a quantity with respect to increasing height above the surface, or the (positive) derivative with respect to increasing depth.	CF-44	
21		air_temperature_threshold	K	Air temperature is the bulk temperature of the air, not the surface (skin) temperature. Air temperature excess and deficit are calculated relative to the air temperature threshold.	CF-44	
22		altimeter_range	m	An altimeter operates by sending out a short pulse of radiation and measuring the time required for the pulse to return from the sea surface	 this measurement is used to calculate the distance between the instrument and the sea surface.  That measurement is called the ''altimeter range'' and does not include any range corrections.	CF-44	
