# Description: Table defining additional information on data sources
# Source:
ElementNumber	ElementName	type	ExternalTable	WIGOS (MCO)	Description
0	SourceID	int 			Unique record ID for dataset
1	ProductID	varchar			ID for product
2	ProductName	int (fk)	Products		Name of source, e.g. International Comprehensive Ocean Atmosphere Data Set, RS92 GRUAN Data Product
3	ProductCode	varchar			Abbreviations / product code, e.g. ICOADS, RS92-GDP
4	ProductVersion	varchar			Version number for dataset, e.g. Release 3.0.0
5	ProductLevel	int (fk)	ProductLevel		Level of product
6	Description 	varchar			Description of dataset / comments
7	ProductReferences	varchar[]			References describing the dataset
8	ProductCitation	varchar			Citation to use when using this product
9	ProductStatus	int (fk)	ProductStatus		
10	SourceFormat 	int [fk]	SourceFormat	7-07 (M)	Original format for data
11	SourceFormatVersion 	varchar		7-08 (M)	Version of original data format
12	SourceFile	varchar			Filename for data from source
13	SourceFileChecksum	varchar			Checksum of source datafile
14	DataCentre 	int [fk]	DataCentre	9-01 (M)	Data centre from which data sourced
15	DataCentreURL 	varchar		9-01 (M)	URL for data centre
16	DataPolicyLicence 	int [fk]	DataPolicyLicence	9-02 (M)	Data policy / licence
17	PIName 	varchar		10-01 (M)	Name of PI responsible for dataset
18	PIemail 	varchar		10-01 (M)	Email address of PI
19	PIurl 	varchar		10-01 (M)	URL for PI
20	NumberOfFileds	numeric			Number of additional fields
21	Field(s)	int[]			Fields to which following values apply
22	Value(s)	numeric[]			additional values
23	History	varchar			History of source
24	Comments	varchar			Additional comments / footnotes
25	Timestamp				Date record created
