# Description: units that value is reported in
# Source: WMO BUFR Common Code Table C6
Value;Units;Conventional abbreviation;Abbreviation in IA5/ASCII (5);Abbreviation in ITA2 (5);Definition in base units (2)
1;metre ;m ;m ;M;
2;kilogram ;kg ;kg ;KG;
3;second ;s ;s ;S;
4;ampere ;A ;A ;A;
5;kelvin ;K ;K ;K;
6;mole; mol ;mol; MOL;
7;candela ;cd ;cd ;CD;
21;radian ;rad ;rad ;RAD;
22;steradian ;sr ;sr ;SR;
30;hertz ;Hz ;Hz ;HZ ;s–1
31;newton ;N; N ;N ;kg m s–2
32;pascal ;Pa ;Pa ;PAL ;kg m–1 s–2
33;joule ;J ;J ;J ;kg m2 s–2
34;watt;W ;W ;W ;kg m2 s–3
35;coulomb ;C ;C ;C ;A s
36;volt ;V ;V ;V ;kg m2 s–3 A–1
37;farad ;F ;F ;F ;kg–1 m–2 s4 A2
38;ohm ;Ω ;Ohm ;OHM ;kg m2 s–3 A–2
39;siemens ;S ;S ;SIE ;kg–1 m–2 s3 A2
40;weber ;Wb ;Wb ;WB ;kg m2 s–2 A–1
41;tesla ;T ;T ;T ;kg s–2 A–1
42;henry ;H ;H ;H ;kg m2 s–2 A–2
60;degree Celsius ;°C ;Cel ;CEL ;K+273.15
70;lumen ;lm ;lm ;LM ;cd sr
71;lux ;lx ;lx ;LX ;cd sr m–2
80;becquerel ;Bq ;Bq ;BQ s–1;
81;grey ;Gy ;Gy ;GY ;m2 s–2
82;sievert ;Sv ;Sv ;SV ;m2 s–2
110;degree (angle) ;° ;deg ;DEG;
111;minute (angle) ;' ;'; MNT;
112;second (angle) ;" ;" ;SEC;
120;litre ;l or L ;l or L ;L;
130;minute (time) ;min ;min ;MIN;
131;hour ;h ;h ;HR;
132;day ;d ;d ;D;
150;tonne ;t; t ;TNE;
160;electron volt ;eV ;eV ;EV;
161;atomic mass unit ;u ;u ;U;
170;astronomic unit ;AU ;AU ;ASU;
171;parsec ;pc ;pc ;PRS;
200;nautical mile;;;;
201;knot ;kt ;kt ;KT;
210;decibel (6) ;dB ;dB ;DB;
220;hectare ;ha ;ha ;HAR;
230;week;;;;
231;year ;a ;a ;ANN;
300;per cent ;% ;% ;PERCENT;
301;parts per thousand ;‰ ;0/00 ;PERTHOU;
310;eighths of cloud ;okta ;okta ;OKTA;
320;degrees true ;° ;deg ;DEG;
321;degrees per second ;degree/s ;deg/s ;DEG/S;
350;degrees Celsius (8) ;°C ;C ;C;
351;degrees Celsius per metre ;°C/m ;C/m ;C/M;
352;degrees Celsius per 100 metres ;°C/100 m ;C/100 m ;C/100 M;
360;Dobson Unit (9) ;DU ;DU ;DU;
430;month ;mon ;mon ;MON;
441;per second (same as hertz); s–1; /s ;/S;
442;per second squared; s–2 ;s–2;;
501;knots per 1000 metres ;kt/1000 m ;kt/km ;KT/KM;
510;foot ;ft ;ft ;FT;
511;inch ;in ;in ;IN;
520;decipascals per second (microbar per second);dPa s–1 ;dPa/s ;DPAL/S;
521;centibars per second ;cb s–1 ;cb/s ;CB/S;
522;centibars per 12 hours; cb/12 h ;cb/12 h ;CB/12 HR;
523;dekapascal ;daPa ;daPa ;DAPAL;
530;hectopascal ;hPa ;hPa ;HPAL;
531;hectopascals per second ;hPa s–1 ;hPa/s ;HPAL/S;
532;hectopascals per hour ;hPa h–1 ;hPa/h ;HPAL/HR;
533;hectopascals per 3 hours ;hPa/3 h ;hPa/3 h ;HPAL/3 HR;
535;nanobar = hPa 10–6 ;nbar ;nbar ;NBAR;
620;grams per kilogram ;g kg–1 ;g/kg ;G/KG;
621;grams per kilogram per second ;g kg–1 s–1 ;g kg–1 s–1;;
622;kilograms per kilogram kg kg–1; kg/kg ;KG/KG;;
623;kilograms per kilogram per second ;kg kg–1 s–1 ;kg kg–1 s–1;;
624;kilograms per square metre ;kg m–2 ;kg m–2;;
630;acceleration due to gravity ;g ;g;;
631;geopotential metre ;gpm ;gpm;;
710;millimetre ;mm ;mm ;MM;
711;millimetres per second ;mm s–1 ;mm/s ;MM/S;
712;millimetres per hour ;mm h–1 ;mm/h ;MM/HR;
713;millimetres to the sixth power per cubic metre;mm6 m–3 ;mm6 m–3;;
715;centimetre ;cm ;cm ;CM;
716;centimetres per second ;cm s–1 ;cm/s ;CM/S;
717;centimetres per hour ;cm h–1 ;cm/h ;CM/HR;
720;decimetre ;dm ;dm ;DM;
731;metres per second ;m s–1 ;m/s ;M/S;
732;metres per second per metre ;m s–1/m ;m s–1/m;;
733;metres per second per 1000 metres ;m s–1/1000 m ;m s–1/km;;
734;square metres; m2 ;m2 ;M2;
735;square metres per second ;m2 s–1 ;m2/s ;M2/S;
740;kilometre ;km ;km ;KM;
741;kilometres per hour ;km h–1 ;km/h ;KM/HR;
742;kilometres per day ;km/d ;km/d ;KM/D;
743;per metre ;m–1 ;m–1 ;/M;
750;becquerels per litre ;Bq l–1 ;Bq/l ;BQ/L;
751;becquerels per square metre ;Bq m–2 ;Bq m–2 ;BQ/M2;
752;becquerels per cubic metre ;Bq m–3 ;Bq m–3 ;BQ/M3;
753;millisievert ;mSv ;mSv ;MSV;
760;metres per second squared ;m s–2 ;m s–2;;
761;square metres second ;m2 s ;m2 s;;
762;square metres per second squared ;m2 s–2 ;m2 s–2;;
763;square metres per radian second ;m2 rad–1 s ;m2 rad–1 s;;
764;square metres per hertz ;m2 Hz–1 ;m2/Hz;;
765;cubic metres ;m3 ;m3;;
766;cubic metres per second ;m3 s–1 ;m3/s;;
767;cubic metres per cubic metre ;m3 m–3 ;m3 m–3;;
768;metres to the fourth power ;m4 ;m4;;
769;metres to the two thirds power per second;m2/3 s–1 ;m2/3 s–1;;
772;logarithm per metre ;log (m–1) ;log (m–1);;
773;logarithm per square metre ;log (m–2) ;log (m–2);;
775;kilograms per metre ;kg m–1 ;kg/m;;
776;kilograms per square metre per second ;kg m–2 s–1 ;kg m–2 s–1;;
777;kilograms per cubic metre ;kg m–3 ;kg m–3;;
778;per square kilogram per second ;kg–2 s–1 ;kg–2 s–1;;
779;seconds per metre ;s m–1 ;s/m;;
785;kelvin metres per second ;K m s–1 ;K m s–1;;
786;kelvins per metre ;K m–1 ;K/m;;
787;kelvin square metres per kilogram per second;K m2 kg–1 s–1 ;K m2 kg–1 s–1;;
788;moles per mole ;mol mol–1 ;mol/mol;;
790;radians per metre ;rad m–1 ;rad/m;;
795;newtons per square metre ;N m–2 ;N m–2;;
800;pascals per second ;Pa s–1 ;Pa/s;;
801;kilopascal ;kPa ;kPa;;
805;joules per square metre ;J m–2 ;J m–2;;
806;joules per kilogram ;J kg–1 ;J/kg;;
810;watts per metre per steradian ;W m–1 sr–1 W m–1 sr–1;;;
811;watts per square metre ;W m–2 ;W m–2;;
812;watts per square metre per steradian ;W m–2 sr–1 ;W m–2 sr–1;;
813;watts per square metre per steradian centimeter ;W m–2 sr–1 cm ;W m–2 sr–1 cm;;
814;watts per square metre per steradian metre;W m–2 sr–1 m ;W m–2 sr–1 m;;
815;watts per cubic metre per steradian ;W m–3 sr–1 ;W m–3 sr–1;;
820;siemens per metre ;S m–1 ;S/m;;
825;square degrees ;degree2 ;deg2;;
830;becquerel seconds per cubic metre ;Bq s m–3 ;Bq s m–3;;
835;decibels per metre ;dB m–1 ;dB/m;;
836;decibels per degree ;dB degree–1 ;dB/deg;;
841;pH unit ;pH unit ;pH unit;;
842;N units ;N units ;N units;;
843;Nephelometric turbidity units ;NTU ;NTU;;
no ;(yotta) ;(Y) ;(Y);(Y);
no ;(zetta) ;(Z); (Z); (Z);
no ;exa ;E ;E; E;
no ;peta ;P;P ;PE;
no ;tera ; T; T;T;
no ;giga ;G ;G ;G;
no ;mega ;M ;M; MA;
no ;kilo ;k ;k ;K;
no ;hector; h ;h ;H;
no ;deca ;da ;da; DA;
no ;deci ;d ;d ;D;
no ;centi ;c ;c ;C;
no ;milli ;m ;m ;M;
no ;micro ;μ; u ;U;
no ;nano ;n ;n ;N;
no ;pico ;p ;p ;P;
no ;femto ;f ;f ;F;
no ;atto ;a ;a ;A;
no ;(zepto) ;(z) ;(z);;
no ;(yocto) ;(y) ;(y);;
