policy	name	description
0	Open	Data in public domain and freely available (no cost and unrestricted).
1	WMO essential	WMO Essential Data: free and unrestricted international exchange of basic data and products.
2	WMO additional	WMO Additional Data: free and unrestricted access to data and products exchanged under the auspices of WMO to the research and education communities for non-commercial activities. A more precise definition of the data policy may be additionally supplied within the metadata. In all cases it shall be the responsibility of the data consumer to ensure that they understand the data policy specified by the data provider – which may necessitate dialogue with the data publisher for confirmation of terms and conditions.
3	WMO other	Data identified for global distribution via WMO infrastructure (GTS / WIS) that is not covered by WMO Resolution 25 neither WMO Resolution 40 e.g. aviation OPMET data. Data marked with “WMOOther” data policy shall be treated like “WMOAdditional” where a more precise definition of the data policy may be additionally supplied within the metadata. In all cases it shall be the responsibility of the data consumer to ensure that they understand the data policy specified by the data provider – which may necessitate dialogue with the data publisher for confirmation of terms and conditions.
4	Restricted data	The use of this data are restricted and cannot be used without permission or granted licence from the original data provider
5	Attribution CC BY	Creative Commons (CC) Licence:Attribution. You are free to Share, copy and redistribute the material in any medium or format Adapt, remix, transform, and build upon the material for any purpose, even commercially.Under the following terms:You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.(https://creativecommons.org/licenses/by/4.0/)
6	ShareAlike CC BY-SA	Creative Commons (CC) Licence: ShareAlike, You are free to Share, copy and redistribute the material in any medium or format Adapt,remix, transform, and build upon the material for any purpose, even commercially.Under the following terms:You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.If you remix, transform, or build upon the material, you must distribute your contributions under the same license as the original.(https://creativecommons.org/licenses/by-sa/4.0/)
7	Attribution-NoDerivs CC BY-ND	Creative Commons (CC) Licence: Attribution-NoDerivatives. You are free to Share, copy and redistribute the material in any medium or format for any purpose, even commercially. You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use. If you remix, transform, or build upon the material, you may not distribute the modified material.You may not apply legal terms or technological measures that legally restrict others from doing anything the license permit. (https://creativecommons.org/licenses/by-nd/4.0/)
8	Attribution-NonCommercial CC BY-NC	Creative Commons (CC) Licence:Attribution-NonCommercial.You are free to Share, copy and redistribute the material in any medium or format Adapt, remix, transform, and build upon the material.Under the following terms:You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.You may not use the material for commercial purposes.You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits. (https://creativecommons.org/licenses/by-nc/4.0/)
9	Attribution-NonCommercial-ShareAlike CC BY-NC-SA	Creative Commons (CC) Licence: Attribution-NonCommercial-ShareAlike. You are free to Share,copy and redistribute the material in any medium or format Adapt, remix, transform, and build upon the material.Under the following terms: You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.You may not use the material for commercial purposes.If you remix, transform, or build upon the material, you must distribute your contributions under the same license as the original.You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits.(https://creativecommons.org/licenses/by-nc-sa/4.0/)
10	Attribution-NonCommercial-NoDerivs CC BY-NC-ND	Creative Commons (CC) Licence: Attribution-NonCommercial-NoDerivs. CC BY-NC-ND.You are free to Share, copy and redistribute the material in any medium or format.Under the following terms: You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.You may not use the material for commercial purposes.If you remix, transform, or build upon the material, you may not distribute the modified material.You may not apply legal terms or technological measures that legally restrict others from doing anything the license permits
11	Other	Specified by the data provider
12	Mixed data policy	Source contains more than one data policy
