# Descripion: table defining elements in main header table				
# Source: NA				
element_name	occurrence	kind	external_table	description
report_id	1	varchar (pk)		Unique ID for report (unique ID given by combination of report_id and observation_id)
region	1	int	region:region	Region (WMO region / Ocean basin)
sub_region	1	int	sub_region:sub_region	Country / regional sea
application_area	1+	int[]	application_area:application_area	WMO application area(s)
observing_programme	1+	int[]	observing_programme:observing_programme	Observing programme, e.g. VOS
report_type	1	int	report_type:type	e.g. SYNOP, TEMP, CLIMAT, etc
station_name	1	varchar		e.g. GRUAN station name, ship name, site name etc
station_type	1	int	station_type:type	Type of station, e.g. land station, sea station etc
platform_type	1	int	platform_type:type	Structure upon which sensor is mounted, e.g. ship, drifting buoy, tower etc
platform_sub_type	1	int	platform_sub_type:type	Sub-type for platform, e.g. 3m discuss buoy
primary_station_id	1	varchar	station_configuration:primary_id	Primary station identifier, e.g. WIGOS ID
station_record_number	1	int	station_configuration:record_number	Together with primary_station_id this forms a link to the station configuration table.
primary_station_id_scheme	1	int	id_scheme:id_scheme	Scheme used for station ID
longitude	1	numeric		Longitude of station, -180.0 to 180.0 (or other as defined by station_crs)
latitude	1	numeric		Latitude of station, -90 to 90 (or other as defined by station_crs)
location_accuracy	1	numeric		Accuracy to which station location recorded (radius in km)
location_method	1	int	location_method:method	Method by which location determined
location_quality	1	int	location_quality:quality	Quality flag for station location
crs	1	int	crs:crs	Coordinate reference scheme for station location
station_speed	1	numeric		Station speed over ground if mobile (m/s)
station_course	1	numeric		Station course over ground if mobile (degree true)
station_heading	1	numeric		Station heading if mobile
height_of_station_above_local_ground	1	numeric		Height of station above local ground (m)
height_of_station_above_sea_level	1	numeric		Height of station above mean sea level (m), negative values for below sea level.
height_of_station_above_sea_level_accuracy	1	numeric		Accuracy to which height of station known (m)
sea_level_datum	1	int	sea_level_datum:datum	Datum used for sea level
report_meaning_of_time_stamp	1	int	meaning_of_time_stamp:meaning	Report time - beginning, middle or end of reporting period
report_timestamp	1	timestamp with timezone		e.g. 1991-01-01 12:00:0.0+0
report_duration	1	int		Report duration (s), e.g. 86400 = daily obs, 3600 hourly etc
report_time_accuracy	1	numeric		Precision to which time was recorded (s)
report_time_quality	1	int	time_quality:quality	Quality flag for report_timestamp 
report_time_reference	1	int	time_reference:reference	Reference Time (e.g. referenced to time server, atomic clock, radio clock etc)
profile_id	1	varchar	profile_configuration:profile_id	Information on profile (atmospheric / oceanographic) configuration. Set to Record ID for profile data or missing (NULL) otherwise.
events_at_station	0+	int[]	events_at_station:event	e.g. ship hove to, crop burning etc.
report_quality	1	int 	quality_flag:flag	Overall quality of report
duplicate_status	1	int	duplicate_status:status	E.g. no duplicates, best duplicate, duplicate, not checked.
duplicates	0+	varchar[]	header_table:report_id	Array of report_id's for duplicates
record_timestamp	1	timestamp with timezone		Timestamp of revision for this record
history	1	varchar 	 	Sequence of processing steps. Free text with timestamp 1 : history 1; timestamp 2 : history 2 etc. 
processing_level	1	int	report_processing_level:level	Level of processing applied to this report
processing_codes	0+	int[]	report_processing_codes:code	Processing applied to this report
source_id	1	varchar	source_configuration:source_configuration	Original source of data, link to external table
source_record_id	1	varchar		Record ID in source data, e.g. ID of event from GRUAN meta database

