code_table	code_table_scheme	code_table_id	code_table_name	value	description
0	BUFR	0 20 003	Present weather	0	Cloud development not observed or not observable
0	BUFR	0 20 003	Present weather	1	Clouds generally dissolving or becoming less developed
0	BUFR	0 20 003	Present weather	2	State of sky on the whole unchanged
0	BUFR	0 20 003	Present weather	3	Clouds generally forming or developing
0	BUFR	0 20 003	Present weather	4	Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes
0	BUFR	0 20 003	Present weather	5	Haze
0	BUFR	0 20 003	Present weather	6	Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation
0	BUFR	0 20 003	Present weather	7	Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of sea stations and coastal stations, blowing spray at the station
0	BUFR	0 20 003	Present weather	8	Well-developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the same time of observation, but no duststorm or sandstorm
0	BUFR	0 20 003	Present weather	9	Duststorm or sandstorm within sight at the time of observation, or at the station during the preceding hour
0	BUFR	0 20 003	Present weather	10	Mist
0	BUFR	0 20 003	Present weather	11	Patches
0	BUFR	0 20 003	Present weather	12	More or less continuous
0	BUFR	0 20 003	Present weather	13	Lightning visible, no thunder heard
0	BUFR	0 20 003	Present weather	14	Precipitation within sight, not reaching the ground or the surface of the sea
0	BUFR	0 20 003	Present weather	15	Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station
0	BUFR	0 20 003	Present weather	16	Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station
0	BUFR	0 20 003	Present weather	17	Thunderstorm, but no precipitation at the time of observation
0	BUFR	0 20 003	Present weather	18	Squalls
0	BUFR	0 20 003	Present weather	19	Funnel cloud(s)
0	BUFR	0 20 003	Present weather	20	Drizzle (not freezing) or snow grains
0	BUFR	0 20 003	Present weather	21	Rain (not freezing)
0	BUFR	0 20 003	Present weather	22	Snow
0	BUFR	0 20 003	Present weather	23	Rain and snow or ice pellets
0	BUFR	0 20 003	Present weather	24	Freezing drizzle or freezing rain
0	BUFR	0 20 003	Present weather	25	Shower(s) of rain
0	BUFR	0 20 003	Present weather	26	Shower(s) of snow, or of rain and snow
0	BUFR	0 20 003	Present weather	27	Shower(s) of hail*, or of rain and hail*
0	BUFR	0 20 003	Present weather	28	Fog or ice fog
0	BUFR	0 20 003	Present weather	29	Thunderstorm (with or without precipitation)
0	BUFR	0 20 003	Present weather	30	Slight or moderate duststorm or sandstorm
0	BUFR	0 20 003	Present weather	31	Slight or moderate duststorm or sandstorm
0	BUFR	0 20 003	Present weather	32	Slight or moderate duststorm or sandstorm
0	BUFR	0 20 003	Present weather	33	Severe duststorm or sandstorm
0	BUFR	0 20 003	Present weather	34	Severe duststorm or sandstorm
0	BUFR	0 20 003	Present weather	35	Severe duststorm or sandstorm
0	BUFR	0 20 003	Present weather	36	Slight or moderate drifting snow
0	BUFR	0 20 003	Present weather	37	Heavy drifting snow
