# Description:							
# Source: NA
observed_variable	parameter_group	domain	sub_domain	abbreviation	name	units	description
0	aerosols			aaod	aerosol absorption optical depth	Dimensionless	NA
1	aerosols			acb	aerosol column burden	g m-2	NA
2	aerosols			adc	aerosol dust concentration	g kg-1	NA
3	aerosols			aer	aerosol effective radius	µm	NA
4	aerosols			aec	aerosol extinction coefficient	m-1	NA
5	aerosols			ammr	aerosol mass mixing ratio	g kg-1	NA
6	aerosols			aod	aerosol optical depth	Dimensionless	NA
7	aerosols			asmf	aerosol species mole fraction	moles per mole of dry air 	NA
8	aerosols			astcb	aerosol species total column burden	moles m-2	NA
9	aerosols			at	aerosol type	coded	NA
10	aerosols			ava	aerosol volcanic ash	g kg-1	NA
11	aerosols			avat	total column aerosol volcanic ash 	g m-2	NA
12	aerosols			ac	air conductivity 	km	NA
13	albedo			bsa	blue ice and snow albedo	percent	NA
14	albedo			bir	blue ice bidirectional reflectance	sr-1	NA
15	albedo			cga	clean glacier ice albedo	percent	NA
16	albedo			dga	dirty glacier ice albedo	percent	NA
17	albedo			esa	earth surface albedo	percent	NA
18	albedo			sbr	snow bidirectional reflectance	sr-1	NA
19	cloud	atmospheric	upper-air	hb	cloud base height	m	cloud base height (hb)
20	cloud	atmospheric	upper-air	h	cloud base lowest height	coded	Height above surface of the base of the lowest cloud seen (coded 0-9)
21	cloud	atmospheric	upper-air	n	cloud cover	Okta or percent	NA
22	cloud	atmospheric	upper-air	c	cloud genus	Coded	Genus of cloud (0 - Cirrus … 9 - Cumulo-Nimbus)
23	cloud	atmospheric	upper-air	hs	cloud genus base height	Coded or m	Height of base of cloud whose genus is c  
24	cloud	atmospheric	upper-air	ch	high cloud type	coded	type of high clouds (ch)
25	cloud	atmospheric	upper-air	cl	low cloud type	coded	type of low clouds (cl)
26	cloud	atmospheric	upper-air	nh	lowest cloud amout	Okta	low or (if low clouds don't exist) middle cloud amount 
27	cloud	atmospheric	upper-air	cm	middle cloud type	coded	type of middle clouds (cm)
28	cloud	atmospheric	upper-air	tca	total cloud amount	Okta	total amount of clouds
29	evaporation	atmospheric		eee	evaporation	mm	NA
30	evaporation	atmospheric		ev	evaporation	kg m-2 s-1	NA
31	evaporation	atmospheric		pev	potential evapotranspiration	mm day-1	NA
32	evaporation	atmospheric		rev	real evapotranspiration	mm day-1	NA
33	humidity	atmospheric		ah	absolute humidity	g m-3	NA
34	humidity	atmospheric	surface; upper-air	dep dew	dew point depression	K	Dew point depression is also called dew point deficit. It is the amount by which the air temperature exceeds its dew point temperature. Dew point temperature is the temperature at which a parcel of air reaches saturation upon being cooled at constant pressure and specific humidity.
35	humidity	atmospheric		td	dew point temperature	C	NA
36	humidity	atmospheric	surface; upper-air	t dew	dew point temperature	K	Dew point temperature is the temperature at which a parcel of air reaches saturation upon being cooled at constant pressure and specific humidity.
37	humidity	atmospheric	surface; upper-air	ibt	ice bulb temperature	K	NA
38	humidity	atmospheric	surface; upper-air	rh	relative humidity	percent	NA usually abbreviated as UUU in WMO but I like rh
39	humidity	atmospheric	surface; upper-air	q	specific humidity	g kg-1	specific means per unit mass. Specific humidity is the mass fraction of water vapor in (moist) air.
40	humidity	atmospheric		e	water vapour pressure	hPa	NA
41	humidity	atmospheric	surface; upper-air	tb	wet bulb temperature	C	NA
42	humidity	atmospheric	surface; upper-air	t wet	wet bulb temperature	K	NA
43	ice			ddd	ice thickness	m	NA
