# Description:
# Source: NA
element_name	occurrence	kind	external_table	description
organisation_id	1	varchar (pk)	NA	unique ID for organisation
parent_organisation	1	varchar	organisation:organisation_id	Link to parent organisation (or NA/NULL or none)
name	1	varchar	NA	Name of organisation
abbreviation	1	varchar	NA	Abbreviated name (or NA/NULL)
address	1	varchar	NA	Road / building name
city	1	varchar	NA	City
admin_area	1	varchar	NA	County or admin region
region	1	int	region:region	WMO Region
country	1	int	sub_region:sub_region	Country
postal_code	1	varchar	NA	Postal / zip code
telephone	1	varchar	NA	Primary telephone number of organisation
url	1	varchar	NA	Link to organisation website
email	1	varchar	NA	Primary email contact for website
