# Description: Platform subtype for platform making observation
# Source: WMO47, ICOADS, BUFR 0 02 149
index	platform_sub_type	platform_type	abbreviation	description
0	0	Ship	BA	Barge
1	1	Ship	BC	Bulk Carrier
2	2	Ship	CA	 Cable ship
3	3	Ship	CG	Coast Guard Ship
4	4	Ship	CS	Container Ship
5	5	Ship	DR	Dredger
6	6	Ship	FE	Passenger ferries
7	7	Ship	FP	Floating production and storage units
8	8	Ship	FV	Other Fishing Vessel
9	9	Ship	GC	General Cargo
10	10	Ship	GT	 Gas Tanker
11	11	Ship	IC	Icebreaking vessel
12	12	Ship	IF	Inshore Fishing Vessel
13	13	Ship	LC	 Livestock carrier
14	14	Ship	LT	Liquid Tanker
15	15	Ship	LV	Light Vessel
16	16	Ship	MI	Mobile installation including mobile offshore drill ships, jack-up rigs and semi-submersibles
17	17	Ship	MS	 Military Ship
18	18	Ship	OT	 Other
19	19	Ship	MW	Ocean Weather Ship
20	20	Ship	PI	Pipe layer
21	21	Ship	PS	 Passenger ships and cruise liners
22	22	Ship	RF	Ro/Ro Ferry
23	23	Ship	RR	Ro/Ro Cargo
24	24	Ship	RS	 Refrigerated cargo ships including banana ships
25	25	Ship	RV	Research Vessel
26	26	Ship	SA	Large sailing vessels
27	27	Ship	SV	Support Vessel
28	28	Ship	TR	  Trawler
29	29	Ship	TU	 Tug
30	30	Ship	VC	 Vehicle carriers
31	31	Ship	YA	Yacht / Pleasure Craft
32	32	Ship	BA	Barges, including crane barges and tank barges.
33	33	Ship	BC	Bulk Carriers, including Ore/Bulk/Oil (OBO) carriers and Ore/Oil carriers.
34	34	Ship	CA	Cable ships.
35	35	Ship	CG	Coastguard cutters, patrol ships and launches.
36	36	Ship	CS	Container ships, including open and closed container ships and refrigerated container ships.
37	37	Ship	DR	Dredgers including bucket, hopper, grab and suction dredgers.
38	38	Ship	FE	Passenger ferries (carrying passengers only).
39	39	Ship	FP	Floating Production and Storage Units.
40	40	Ship	FV	Fishing Vessels including purse seiners, long liners etc., but excluding trawlers.
41	41	Ship	GC	General Cargo ships with one or more holds.
42	42	Ship	GT	Liquefied gas carriers/tankers including LNG and LPG carriers.
43	43	Ship	IC	Icebreaking vessels (dedicated vessel). If the vessel fits in another category and is ice strengthened
44	44	Ship	LC	Livestock Carrier (dedicated ship for the carriage of livestock).
45	45	Ship	LT	Liquid tankers including oil product tankers, chemical tankers and crude oil tankers (including VLCC's and ULCC's).
46	46	Ship	LV	Light vessels.
47	47	Ship	MI	Mobile installations, including mobile offshore drill ships, jack-up rigs, semi-submersibles.
48	48	Ship	MS	Military ships.
49	49	Ship	OW	Ocean Weather Ships (dedicated weather ship).
50	50	Ship	PI	Pipe Layers.
51	51	Ship	PS	Passenger ships and Cruise liners.
52	52	Ship	RF	Ro Ro ferries (carrying passengers and laden vehicles).
53	53	Ship	RR	Ro Ro cargo ships for carriage of road and/or rail vehicles and cargo, including containerised cargo.
54	54	Ship	RS	Refrigerated cargo ships including banana ships.
55	55	Ship	RV	Research Vessels, including oceanographic, meteorological and hydrographic research ships and seismographic research ships.
56	56	Ship	SA	Large sailing vessels, including sail training vessels.
57	57	Ship	SV	Support vessels including offshore support vessels, offshore supply vessels, stand-by vessels, pipe carriers, anchor handling vessels, buoy tenders (including coastguard vessels engaged solely on buoy tending duties), diving support vessels, etc.
58	58	Ship	TR	Trawler fishing vessels.
59	59	Ship	TU	Tugs, including fire-fighting tugs, salvage tugs, pusher tugs, pilot vessels, tenders etc.
60	60	Ship	VC	Vehicle Carriers: dedicated multi deck ships for the carriage of new unladen road vehicles.
61	61	Ship	YA	Yachts and pleasure craft.
62	62	Ship	OT	Other (specify in footnote).
63	63	Land station		Synoptic network
64	64	Land station		Local Network
65	65	Ship		Ocean Weather Ship (on station)
66	66	Ship		Ocean Weather Ship (off station)
67	67	Coastal / Island		Other
68	68	Coastal / Island		Coastal-Marine Automated Network (C-MAN) (NDBC operated)
69	69	Drifting buoy		Unspecified drifting buoy
70	70	Drifting buoy		Standard Lagrangian drifter (Global Drifter Programme)
71	71	Drifting buoy		Standard FGGE type drifting buoy (non-Lagrangian meteorological drifting buoy)
72	72	Drifting buoy		Wind measuring FGGE type drifting buoy (non-Lagrangian meteorological drifting buoy)
73	73	Ice buoy		Ice drifter
74	74	Drifting buoy		SVPG Standard Lagrangian drifter with GPS
75	75	Drifting buoy		SVP-HR drifter with high-resolution temperature or thermistor string
76	76	Subsurface float		Unspecified subsurface float
77	77	Profiling float		SOFAR
78	78	Profiling float		ALACE
79	79	Profiling float		MARVOR
80	80	Profiling float		RAFOS
81	81	Profiling float		PROVOR
82	82	Profiling float		SOLO
83	83	Profiling float		APEX
84	84	Moored buoy		Unspecified moored buoy
85	85	Moored buoy		Nomad
86	86	Moored buoy		3-metre discus
87	87	Moored buoy		10-12-metre discus
88	88	Moored buoy		ODAS 30 series
89	89	Moored buoy		ATLAS (e.g. TAO area)
90	90	Moored buoy		TRITON buoy
91	91	Moored buoy		FLEX mooring (e.g. TIP area)
92	92	Moored buoy		Omnidirectional waverider
93	93	Moored buoy		Directional waverider
94	94	Profiling float		Subsurface ARGO float
95	95	Profiling float		PALACE
96	96	Profiling float		NEMO
97	97	Profiling float		NINJA
98	98	Ice buoy		Ice buoy/float (POPS or ITP)
99	99	Moored buoy		Mooring oceanographic
100	100	Moored buoy		Mooring meteorological
101	101	Moored buoy		Mooring multidisciplinary (OceanSITES)
102	102	Moored buoy		Mooring tide gauge or tsunami buoy
103	103	Ice buoy		Ice beacon
104	104	Ice buoy		Ice mass balance buoy
