# Description:			
# Source:			
field_id	field_name	type	description
0	include_descent	int (fk)	NA
1	processing_code	int (fk)	NA
2	unwinder_type	varchar	NA
3	burstpoint_altitude	numeric	NA
4	burstpoint_pressure	numeric	NA
5	filling_weight	numeric	NA
6	gross_weight	numeric	NA
7	payload	numeric	NA
B002016	radiosonde_configuration	int (fk)	NA
B002003	type_of_measuring_equipment used	int (fk)	NA
B002011	radiosonde_sounding_system	int (fk)	NA
B002011	radiosonde_type	int (fk)	NA
B002013	solar_and_infrared_radiation_correction	int (fk)	NA
B002014	tracking_technique 	int (fk)	NA
B002015	radiosonde_completeness	int (fk)	NA
B002017	humidity_correction_algorithm	int (fk)	NA
B002066	radiosonde_ground_receiving_system	int (fk)	NA
B002080	balloon_manufacturer	int (fk)	NA
B002081	balloon_type	int (fk)	NA
B002081	balloon_type	int (fk)	NA
B002083	type_of_balloon shelter	int (fk)	NA
B002084	type_of_gas used in balloon	int (fk)	NA
B002095	type_of_pressure_sensor	int (fk)	NA
B002191	geopotential_height_calculation	int (fk)	NA
B003011	method_of_depth_calculation	int (fk)	NA
B022056	profile_direction	int (fk)	NA
B022067	instrument_type_for_water_temperature_salinity_profile	int (fk)	NA
B022068	water_temperature_profile_recorder_type	int (fk)	NA
B022178	XBT_launcher_type	int (fk)	NA
B035035	reason_for_termination	int (fk)	NA
