# Description: Table defining additional information on data sources				
# Source: NA
element_name	occurrence	type	external_table	description
source_id	1	varchar (pk) 		Unique record ID for dataset
product_id	1	varchar		ID for product
product_name	1	varchar		Name of source, e.g. International Comprehensive Ocean Atmosphere Data Set, RS92 GRUAN Data Product
product_code	1	varchar		Abbreviations / product code, e.g. ICOADS, RS92-GDP
product_version	1	varchar		Version number for dataset, e.g. Release 3.0.0
product_level	1	int	product_level:level	Level of product
product_uri	1	varchar		URI for product, either to original source or to CDS
description 	1	varchar		Description of dataset / comments
product_references	1+	varchar[]		References describing the dataset
product_citation	1+	varchar[]		Citation to use when using this product
product_status	1	int	product_status:status	Status of product, draft, pre-release, release
source_format 	1	int	source_format:format	Original format for data
source_format_version 	1	varchar		Version of original data format
source_file	1	varchar		Filename for data from source
source_file_checksum	1	varchar		Checksum of source datafile
data_centre 	1	int	organisation:organisation_id	Data centre from which data sourced
data_centre_url 	1	varchar		URL for data centre
data_policy_licence 	1	int	data_policy_licence:policy	Data policy / licence
contact	1+	varchar[]	contact:contact_id	contact for data source with role specified by role element
contact_role	1+	int[]	role:role	role of contact
history	1	varchar		History of source
comments	1	varchar		Additional comments / footnotes
timestamp	1	timestamp with timezone		Date record created / created
maintenance_and_update_frequency	1	int	update_frequency:frequency	Frequency with which modifications and deletions are made to the data after it is first produced
optional_data	1	int	data_present:flag	Flag indicating availability of additional data
