# Description: Additional fields for source configuration
# Source:
value	field	field_name	kind	code_value	description	extended_description
0	1	DelayedModeFormat	int (fk)	0	IMMT version just prior to version number being included	NA
1	1	DelayedModeFormat	int (fk)	1	IMMT-1 (in effect from 2 Nov. 1994)	NA
2	1	DelayedModeFormat	int (fk)	2	IMMT-2 (in effect from Jan. 2003)	NA
3	1	DelayedModeFormat	int (fk)	3	IMMT-3 (in effect from Jan. 2007)	NA
4	1	DelayedModeFormat	int (fk)	4	IMMT-4 (in effect from Jan. 2011)	NA
5	1	DelayedModeFormat	int (fk)	5	IMMT-5 (in effect from June 2012)	NA
6	2	MetadataSource	int (fk)	0	COAPS	NA
7	2	MetadataSource	int (fk)	1	WMO Publication 47	NA
8	3	MetadataSourceFormat	int (fk)	1	Output from digitisation project, semi-colon delimited format (1955)	NA
9	3	MetadataSourceFormat	int (fk)	2	Output from digitisation project, semi-colon delimited format (1956)	NA
10	3	MetadataSourceFormat	int (fk)	3	Output from digitisation project, semi-colon delimited format (1957 - 1967)	NA
11	3	MetadataSourceFormat	int (fk)	4	Output from digitisation project, semi-colon delimited format (1968 - 1969)	NA
12	3	MetadataSourceFormat	int (fk)	5	Fixed format (1970 - 1004)	NA
13	3	MetadataSourceFormat	int (fk)	6	Semi-colon delimited format (1995 - 2001)	NA
14	3	MetadataSourceFormat	int (fk)	7	Semi-colon delimited format (2002 - 2007 q1)	NA
15	3	MetadataSourceFormat	int (fk)	8	Semi-colon delimited format (2007 - 2008)	NA
16	3	MetadataSourceFormat	int (fk)	9	Semi-colon delimited format (2009 - 2014)	NA
17	4	ObservationSourceType	int (fk)	0	unknown	NA
18	4	ObservationSourceType	int (fk)	1	delayed mode - logbook (paper)	NA
19	4	ObservationSourceType	int (fk)	2	real time - national telecommunication channels	NA
20	4	ObservationSourceType	int (fk)	3	delayed mode - national publications	NA
21	4	ObservationSourceType	int (fk)	4	delayed mode - logbook (electronic)	NA
22	4	ObservationSourceType	int (fk)	5	real time - global telecommunication system (GTS)	NA
23	4	ObservationSourceType	int (fk)	6	delayed mode - International publications	NA
24	5	RealTimeFormat	int (fk)	0	previous to FM24-V	NA
25	5	RealTimeFormat	int (fk)	1	FM 24-V	NA
26	5	RealTimeFormat	int (fk)	2	FM 24-VI Ext.	NA
27	5	RealTimeFormat	int (fk)	3	FM 13-VII	NA
28	5	RealTimeFormat	int (fk)	4	FM 13-VIII	NA
29	5	RealTimeFormat	int (fk)	5	FM 13-VIII Ext.	NA
30	5	RealTimeFormat	int (fk)	6	FM 12-IX	NA
31	5	RealTimeFormat	int (fk)	7	FM 13-IX Ext.	NA
32	5	RealTimeFormat	int (fk)	8	FM 13-X	NA
33	5	RealTimeFormat	int (fk)	9	FM 13-XI	NA
34	5	RealTimeFormat	int (fk)	10	FM 13-XII Ext.	NA
35	5	RealTimeFormat	int (fk)	11	FM 13-XIII	NA
36	5	RealTimeFormat	int (fk)	12	FM 13-XIV Ext.	NA
37	6	SourceFormat	int (fk)	0	IMMA - Version 0	NA
38	6	SourceFormat	int (fk)	1	IMMA - Version 1	NA
39	7	SourceDeck	int (fk)	NA	ICOADS Source deck	NA
40	8	SourceID	int (fk)	NA	ICOADS Source ID	NA
41	9	ProductLevel	int (fk)	2	Data read from original data file	NA
42	10	ProductStatus	int (fk)	1	Data approved	Data exist, read from chache, PTU + altitude columns available, all GC25 tests ok, all uncertainties as expected
43	11	ProductOrgResolutiuon	numeric	NA	Original time resolution of data	NA
44	field	original_format	int (fk)	0	Paper logbook	NA
