Value	Field	FieldName	Kind	CodeValue	Description	Extended Description
0	1	DelayedModeFormat	int (fk)	0	IMMT version just prior to version number being included	
1	1	DelayedModeFormat	int (fk)	1	IMMT-1 (in effect from 2 Nov. 1994)	
2	1	DelayedModeFormat	int (fk)	2	IMMT-2 (in effect from Jan. 2003)	
3	1	DelayedModeFormat	int (fk)	3	IMMT-3 (in effect from Jan. 2007)	
4	1	DelayedModeFormat	int (fk)	4	IMMT-4 (in effect from Jan. 2011)	
5	1	DelayedModeFormat	int (fk)	5	IMMT-5 (in effect from June 2012)	
6	2	MetadataSource	int (fk)	0	COAPS	
7	2	MetadataSource	int (fk)	1	WMO Publication 47	
8	3	MetadataSourceFormat	int (fk)	1	Output from digitisation project, semi-colon delimited format (1955)	
9	3	MetadataSourceFormat	int (fk)	2	Output from digitisation project, semi-colon delimited format (1956)	
10	3	MetadataSourceFormat	int (fk)	3	Output from digitisation project, semi-colon delimited format (1957 - 1967)	
11	3	MetadataSourceFormat	int (fk)	4	Output from digitisation project, semi-colon delimited format (1968 - 1969)	
12	3	MetadataSourceFormat	int (fk)	5	Fixed format (1970 - 1004)	
13	3	MetadataSourceFormat	int (fk)	6	Semi-colon delimited format (1995 - 2001)	
14	3	MetadataSourceFormat	int (fk)	7	Semi-colon delimited format (2002 - 2007 q1)	
15	3	MetadataSourceFormat	int (fk)	8	Semi-colon delimited format (2007 - 2008)	
16	3	MetadataSourceFormat	int (fk)	9	Semi-colon delimited format (2009 - 2014)	
17	4	ObservationSourceType	int (fk)	0	unknown	
18	4	ObservationSourceType	int (fk)	1	delayed mode - logbook (paper)	
19	4	ObservationSourceType	int (fk)	2	real time - national telecommunication channels	
20	4	ObservationSourceType	int (fk)	3	delayed mode - national publications	
21	4	ObservationSourceType	int (fk)	4	delayed mode - logbook (electronic)	
22	4	ObservationSourceType	int (fk)	5	real time - global telecommunication system (GTS)	
23	4	ObservationSourceType	int (fk)	6	delayed mode - International publications	
24	5	RealTimeFormat	int (fk)	0	previous to FM24-V	
25	5	RealTimeFormat	int (fk)	1	FM 24-V	
26	5	RealTimeFormat	int (fk)	2	FM 24-VI Ext.	
27	5	RealTimeFormat	int (fk)	3	FM 13-VII	
28	5	RealTimeFormat	int (fk)	4	FM 13-VIII	
29	5	RealTimeFormat	int (fk)	5	FM 13-VIII Ext.	
30	5	RealTimeFormat	int (fk)	6	FM 12-IX	
31	5	RealTimeFormat	int (fk)	7	FM 13-IX Ext.	
32	5	RealTimeFormat	int (fk)	8	FM 13-X	
33	5	RealTimeFormat	int (fk)	9	FM 13-XI	
34	5	RealTimeFormat	int (fk)	10	FM 13-XII Ext.	
35	5	RealTimeFormat	int (fk)	11	FM 13-XIII	
36	5	RealTimeFormat	int (fk)	12	FM 13-XIV Ext.	
37	6	SourceFormat	int (fk)	0	IMMA - Version 0	
38	6	SourceFormat	int (fk)	1	IMMA - Version 1	
39	7	SourceDeck	int (fk)		ICOADS Source deck	
40	8	SourceID	int (fk)		ICOADS Source ID	
41	9	ProductLevel	int (fk)	2	Data read from original data file	
42	10	ProductStatus	int (fk)	1	Data approved	Data exist, read from chache, PTU + altitude columns available, all GC25 tests ok, all uncertainties as expected
43	11	ProductOrgResolutiuon	numeric		Original time resolution of data	
