index	observation_value_significance	description
0	0	Maximum value over indicated period
1	1	Minimum value over indicated period
2	2	Mean value over indicated period
3	3	Median value over indicated period
4	4	Modal value over indicated period
5	5	Mean absolute error over indicated period
6	6	Best estimate of standard deviation (N-1) of observed parameter over indicated period
7	7	Standard deviation (N) of observed parameter over indicated period
8	8	Harmonic mean of observed parameter over indicated period
9	9	Root mean square vector error of observed parameter over indicated period
10	10	root mean square of observed parameter over indicated period
11	11	Vector mean of observed parameter over indicated period
12	12	Instantaneous value of observed parameter
13	13	Observed tendancy: Increasing, then decreasing; Observed parameter the same or higher than three hours ago
14	14	Observed tendancy: Increasing, then steady; or increasing, then increasing more slowly
15	15	Observed tendancy: Increasing (steadily or unsteadily)
16	16	Observed tendancy: Decreasing or steady, then increasing; or increasing, then increasing more rapidly
17	17	Observed tendancy: Steady; Observed parameter the same as three hours ago
18	18	Observed tendancy: Decreasing, then increasing;  Observed parameter the same or lower than three hours ago
19	19	Observed tendancy: Decreasing, then steady; or decreasing, then decreasing more slowly
20	20	Observed tendancy: Decreasing (steadily or unsteadily)
21	21	Observed tendancy: Steady or increasing, then decreasing; or decreasing, then decreasing more rapidly
22	22	Accumulation over specified period
