element_name	kind	external_table	description
report_id	int (pk)		Unique ID for report (unique ID given by combination of RecordID and ObservationID)
region	int (fk)	region	Region (WMO region / Ocean basin)
sub_region	int (fk)	sub_region	Country / regional sea
application_area	int[] (fk)	application_area	WMO application area(s)
observing_programme	int[] (fk)	observing_programme	Observing programme, e.g. VOS
report_type	int (fk)	report_type	e.g. SYNOP, TEMP, CLIMAT, etc
station_name	varchar		e.g. GRUAN station name, ship name, site name etc
station_type	int (fk)	station_type	Type of station, e.g. land station, sea station etc
platform_type	int (fk)	platform_type	Structure upon which sensor is mounted, e.g. ship, drifting buoy, tower etc
platform_sub_type	int (fk)	platform_sub_type	Sub-type for platform, e.g. 3m discuss buoy
primary_station_id	varchar		Primary station identifier, e.g. WIGOS ID
primary_station_id_scheme	int (fk)	id_scheme	Scheme used for station ID
secondary_station_id	varchar		Alternate (e.g. local) ID for station
secondary_station_id_scheme	int (fk)	id_scheme	Alternate ID Scheme, e.g. Network ID
station_configuration	int (fk)	station_configuration	Link to station metadata / configuration
station_location_longitude	numeric		Longitude of station, -180.0 to 180.0 (or other as defined by station_crs)
station_location_latitude	numeric		Latitude of station, -90 to 90 (or other as defined by station_crs)
station_location_accuracy	numeric		Accuracy to which station location recorded (radius in km)
station_location_method	int(fk)	location_method	Method by which location determined
station_location_quality	int (fk)	location_quality	Quality flag for station location
station_crs	int (fk)	crs	Coordinate reference scheme for station location
station_speed	numeric		Station speed over ground if mobile (m/s)
station_course	numeric		Station course over ground if mobile (degree true)
station_heading	numeric		Station heading if mobile
height_of_station_above_local_ground	numeric		Height of station above local ground (m)
height_of_station_above_sea_level	numeric		Height of station above mean sea level (m), negative values for below sea level.
height_of_station_above_sea_level_accuracy	numeric		Accuracy to which height of station known (m)
sea_level_datum	int (fk)	sea_level_datum	Datum used for sea level
report_meaning_of_time_stamp	int (fk)	meaning_of_time_stamp	Report time - beginning, middle or end of reporting period
report_time_stamp	timestamp with timezone		e.g. 1991-01-01 12:00:0.0+0
report_duration	int		Report duration (s), e.g. 86400 = daily obs, 3600 hourly etc
report_time_accuracy	numeric		Precision to which time was recorded (s)
report_time_quality	int (fk)	time_quality	Quality flag for ReportDateTime
report_time_reference	int (fk)	time_reference	Reference Time (e.g. referenced to time server, atomic clock, radio clock etc)
profile_configuration	int (fk)	profile_configuration	Information on profile (atmospheric / oceanographic) configuration. Set to Record ID for profile data or missing (NULL) otherwise.
events_at_station	int[] (fk)	events_at_station	e.g. ship hove to, crop burning etc.
report_quality	int (fk)	quality_flag	Overall quality of report
duplicate_status	int (fk)	duplicate_status	E.g. no duplicates, best duplicate, duplicate, not checked.
duplicates	int[] (fk)	observations_table	Array of report_id's for duplicates
record_timestamp	timestamp with timezone		Timestamp of revision for this record
history	varchar 	 	Sequence of processing steps. Free text with timestamp 1 : history 1; timestamp 2 : history 2 etc. 
processing_level	int (fk)	report_processing_level	Level of processing applied to this report
processing_codes	int[] (fk)	report_processing_codes	Processing applied to this report
source_id	int (fk)	source_configuration	Original source of data – link to table 
source_record_id	varchar		Record ID in source data, e.g. ID of event from GRUAN meta database
data_policy_licence	int (fk)	data_policy_licence	WMOessential, WMOadditional, WMOother
observation_id	int (pk)		Together with RecordID forms unique ID for observation / record
observed_variable	int (fk)	observed_variable	The variable being observed / measured
units	int (fk)	units	Units for the observed variable
code_table	int (fk)	observation_code_table	Encode / decode table for variable (if encoded)
observation_value	numeric		The observed value
observation_value_significance	int (fk)	observation_value_significance	e.g. min, max, mean, sum
observation_timestamp_meaning	int (fk)	meaning_of_time_stamp	beginning, middle, end
observation_timestamp	timestamp with timezone		timestamp for observation
observation_duration	int		Duration/period over which observation was made (s)
