observed_variable	parameter_group	domain	sub-domain	abbreviation	name	units	description / notes
0	aerosols			aaod	aerosol_absorption_optical_depth	Dimensionless	NA
1	aerosols			acb	aerosol_column_burden	g m-2	NA
2	aerosols			adc	aerosol_dust_concentration	g kg-1	NA
3	aerosols			aer	aerosol_effective_radius	µm	NA
4	aerosols			aec	aerosol_extinction_coefficient	m-1	NA
5	aerosols			ammr	aerosol_mass_mixing_ratio	g kg-1	NA
6	aerosols			aod	aerosol_optical_depth	Dimensionless	NA
7	aerosols			asmf	aerosol_species_mole_fraction	moles per mole of dry air 	NA
8	aerosols			astcb	aerosol_species_total_column_burden	moles m-2	NA
9	aerosols			at	aerosol_type	coded	NA
10	aerosols			ava	aerosol_volcanic_ash	g kg-1	NA
11	aerosols			avat	total_column_aerosol_volcanic_ash 	g m-2	NA
12	aerosols			ac	air_conductivity 	km	NA
13	albedo			bsa	blue_ice_and_snow_albedo	percent	NA
14	albedo			bir	blue_ice_bidirectional_reflectance	sr-1	NA
15	albedo			cga	clean_glacier_ice_albedo	percent	NA
16	albedo			dga	dirty_glacier_ice_albedo	percent	NA
17	albedo			esa	earth_surface_albedo	percent	NA
18	albedo			sbr	snow_bidirectional_reflectance	sr-1	NA
19	cloud	atmospheric	upper-air	hb	cloud_base_height	m	cloud base height (hb)
20	cloud	atmospheric	upper-air	h	cloud_base_lowest_height	coded	Height above surface of the base of the lowest cloud seen (coded 0-9)
21	cloud	atmospheric	upper-air	n	cloud_cover	Okta or percent	NA
22	cloud	atmospheric	upper-air	c	cloud_genus	Coded	Genus of cloud (0 - Cirrus … 9 - Cumulo-Nimbus)
23	cloud	atmospheric	upper-air	hs	cloud_genus_base_height	Coded or m	Height of base of cloud whose genus is c  
24	cloud	atmospheric	upper-air	ch	high_cloud_type	coded	type of high clouds (ch)
25	cloud	atmospheric	upper-air	cl	low_cloud_type	coded	type of low clouds (cl)
26	cloud	atmospheric	upper-air	nh	lowest_cloud_amout	Okta	low or (if low clouds don't exist) middle cloud amount 
27	cloud	atmospheric	upper-air	cm	middle_cloud_type	coded	type of middle clouds (cm)
28	cloud	atmospheric	upper-air	tca	total_cloud_amount	Okta	total amount of clouds
29	evaporation	atmospheric		eee	evaporation	mm	NA
30	evaporation	atmospheric		ev	evaporation	kg m-2 s-1	NA
31	evaporation	atmospheric		pev	potential_evapotranspiration	mm day-1	NA
32	evaporation	atmospheric		rev	real_evapotranspiration	mm day-1	NA
33	humidity	atmospheric		ah	absolute_humidity	g m-3	NA
34	humidity	atmospheric	surface; upper-air	dep_dew	dew_point_depression	K	Dew point depression is also called dew point deficit. It is the amount by which the air temperature exceeds its dew point temperature. Dew point temperature is the temperature at which a parcel of air reaches saturation upon being cooled at constant pressure and specific humidity.
35	humidity	atmospheric		td	dew_point_temperature	C	NA
36	humidity	atmospheric	surface; upper-air	t_dew	dew_point_temperature	K	Dew point temperature is the temperature at which a parcel of air reaches saturation upon being cooled at constant pressure and specific humidity.
37	humidity	atmospheric	surface; upper-air	ibt	ice_bulb_temperature	K	NA
38	humidity	atmospheric	surface; upper-air	rh	relative_humidity	percent	NA usually abbreviated as UUU in WMO but I like rh
39	humidity	atmospheric	surface; upper-air	q	specific_humidity	g kg-1	specific means per unit mass. Specific humidity is the mass fraction of water vapor in (moist) air.
40	humidity	atmospheric		e	water_vapour_pressure	hPa	NA
41	humidity	atmospheric	surface; upper-air	tb	wet_bulb_temperature	C	NA
