value	field_number	field_name	type	code_value	abbreviation	description	start_date	end_date
0	1	Balloon manufacturer	int (fk)	0	0	Kaysam	NA	NA
1	1	Balloon manufacturer	int (fk)	1	1	Totex	NA	NA
2	1	Balloon manufacturer	int (fk)	2	2	KKS	NA	NA
3	1	Balloon manufacturer	int (fk)	3	3	Guangzhou Shuangyi (China)	NA	NA
4	1	Balloon manufacturer	int (fk)	4	4	ChemChina Zhuzhou (China)	NA	NA
5	2	BalloonType	int (fk)	0	NA	NA	NA	NA
6	3	BurstpointAltitude	numeric	NA	NA	NA	NA	NA
7	4	BurstpointPressure	numeric	NA	NA	NA	NA	NA
8	5	Correction algorithm for humidity measurements	int (fk)	0	0	No corrections	NA	NA
9	5	Correction algorithm for humidity measurements	int (fk)	1	1	Time lag correction provided by manufacturer	NA	NA
10	5	Correction algorithm for humidity measurements	int (fk)	2	2	Solar radiation correction provided by the manufacturer	NA	NA
11	5	Correction algorithm for humidity measurements	int (fk)	3	3	Solar radiation and time lag correction provided by the manufacturer	NA	NA
12	5	Correction algorithm for humidity measurements	int (fk)	4	7	GRUAN solar radiation and time lag	NA	NA
13	6	Direction of profile	int (fk)	0	0	Upwards profile	NA	NA
14	6	Direction of profile	int (fk)	1	1	Downwards profile	NA	NA
15	6	Direction of profile	int (fk)	2	2	Horizontal profile	NA	NA
16	7	FillingWeight	numeric	NA	NA	NA	NA	NA
17	8	Geopotential height calculation	int(fk)	0	0	Geopotential height calculated from pressure	NA	NA
18	8	Geopotential height calculation	int(fk)	1	1	Geopotential height calculated from GPS height	NA	NA
19	8	Geopotential height calculation	int(fk)	2	2	Geopotential height calculated from radar height	NA	NA
20	9	GrossWeight	numeric	NA	NA	NA	NA	NA
21	10	IncludeDescent	numeric	NA	NA	NA	NA	NA
22	11	Instrument type for water temperature salinity profile	int (fk)	0	NA	NA	NA	NA
23	12	Method of depth calculation	int (fk)	0	0	Depth calculated using fall rate equation	NA	NA
24	12	Method of depth calculation	int (fk)	1	1	Depth calculate from water pressure / equation of state (of sea water)	NA	NA
25	13	Payload	numeric	NA	NA	Weight of payload (g)	NA	NA
26	14	Processing code	int (fk)	0	cc	Calibration correction (of humidity sensors)	NA	NA
27	14	Processing code	int (fk)	1	HRC	Humidity radiation correction	NA	NA
28	14	Processing code	int (fk)	2	or	Outlier removal (remove temperature spikes)	NA	NA
29	14	Processing code	int (fk)	3	pGPS	Combination of pressure and GPS	NA	NA
