secondary_variable	variable_name	code_value	symbol	description
0	atmospheric constituent	0	BrO	Bromine monoxide
0	atmospheric constituent	1	C10H16	3-Carene
0	atmospheric constituent	2	C10H16 	Alpha pinene
0	atmospheric constituent	3	C10H16 	Beta pinene
0	atmospheric constituent	4	C10H16	Limonene
0	atmospheric constituent	5	C2H2	Ethyne (Acetylene)
0	atmospheric constituent	6	C2H5OH	Ethanol
0	atmospheric constituent	7	C2H6	Propene
0	atmospheric constituent	8	C2H6S	Ethanethiol
0	atmospheric constituent	9	C3H6O	Acetone
0	atmospheric constituent	10	C4H10 	Methylpropane
0	atmospheric constituent	11	C4H10	n-butane
0	atmospheric constituent	12	C5H12 	2-Methylbutane
0	atmospheric constituent	13	C5H12	n-Pentane
0	atmospheric constituent	14	C5H8	Isoprene
0	atmospheric constituent	15	C6H6	Benzene
0	atmospheric constituent	16	C7H8	Toluene
0	atmospheric constituent	17	CFC-11	CFC-11
0	atmospheric constituent	18	CFC-12	CFC-12
0	atmospheric constituent	19	CH3CN	Acetonitrile
0	atmospheric constituent	20	CH3OH	Methanol
0	atmospheric constituent	21	CH4	Methane
0	atmospheric constituent	22	ClO	Chlorine monoxide
0	atmospheric constituent	23	ClONO2	Chlorine nitrate
0	atmospheric constituent	24	CO	Carbon monoxide
0	atmospheric constituent	25	CO2	Carbon dioxide
0	atmospheric constituent	26	COS	Carbonyl sulfide
0	atmospheric constituent	27	H2O	Water vapour
0	atmospheric constituent	28	HCHO 	Formaldehyde
0	atmospheric constituent	29	HCHO	Formaldehyde  (Total Column)
0	atmospheric constituent	30	HCl	Hydrogen chloride
0	atmospheric constituent	31	HDO	???
0	atmospheric constituent	32	HNO3	Nitric acid
0	atmospheric constituent	33	N2O	Nitrous oxide
0	atmospheric constituent	34	N2O5	Dinitrogen pentoxide
0	atmospheric constituent	35	NO	Nitrogen monoxide
0	atmospheric constituent	36	NO2	Nitrogen dioxide
0	atmospheric constituent	37	NO2	Nitrogen dioxide (Total column)
0	atmospheric constituent	38	O3	Ozone
0	atmospheric constituent	39	O3 	Ozone (Total column)
0	atmospheric constituent	40	OH	???
0	atmospheric constituent	41	PAN	???
0	atmospheric constituent	42	PSC occurrence	???
0	atmospheric constituent	43	SF6	Sulphur hexaflouride
0	atmospheric constituent	44	SO2	Sulphur dioxide
0	atmospheric constituent	45	SO2	Sulphur dioxide (Total column)
