index	field	field_name	parameter	code_value	description
0	0	ice bulb status	humidity	0	Ice bulb
1	0	ice bulb status	humidity	1	Wet bulb
2	1	sensor housing - configuration	all	0	Double v section louvers
3	1	sensor housing - configuration	all	1	non-overlapping louvers
4	1	sensor housing - configuration	all	2	Not applicable
5	1	sensor housing - configuration	all	3	Overlapping louvers
6	1	sensor housing - configuration	all	4	single v-section louvers
7	1	sensor housing - configuration	all	5	vented, non-louvered
8	2	sensor housing - heating	all	0	Heated
9	2	sensor housing - heating	all	1	Unheated
10	3	sensor housing - material	all	0	Metal alloy
11	3	sensor housing - material	all	1	Plastic / Glass reinforced plastic
12	3	sensor housing - material	all	2	Reed / grass / leaf
13	3	sensor housing - material	all	3	Wood
14	4	sensor housing - radiation shielding	all	0	Concentric tube
15	4	sensor housing - radiation shielding	all	1	Cylindrical section plate shield
16	4	sensor housing - radiation shielding	all	2	Integrated (e.g. chilled mirror)
17	4	sensor housing - radiation shielding	all	3	Marine Stevenson screen
18	4	sensor housing - radiation shielding	all	4	Open covered inverted V roof
19	4	sensor housing - radiation shielding	all	5	open covered lean-to
20	4	sensor housing - radiation shielding	all	6	Rectangular section section
21	4	sensor housing - radiation shielding	all	7	Square section shield
22	4	sensor housing - radiation shielding	all	8	Stevenson screen
23	4	sensor housing - radiation shielding	all	9	Triangular section shield
24	5	sensor housing - type	all	0	Aspirated (e.g. Assmann)
25	5	sensor housing - type	all	1	Hand-held digital temperature/humidity sensor
26	5	sensor housing - type	all	2	Other shelter
27	5	sensor housing - type	all	3	Radiation Shield (e.g. cylindrical / Gill multi-plate radiation shield)
28	5	sensor housing - type	all	4	Screen
29	5	sensor housing - type	all	5	Sling / whirling
30	5	sensor housing - type	all	6	Unscreened.
31	6	sensor housing - ventilation	all	0	Artificial aspiration in use, constant flow at time of reading
32	6	sensor housing - ventilation	all	1	Artificial aspiration in use, variable flow at time of reading
33	6	sensor housing - ventilation	all	2	Natural  ventilation in use
34	8	sensor location - ship	all	0	Aft mast.
35	8	sensor location - ship	all	1	Bridge wing
36	8	sensor location - ship	all	2	Foremast yardarm
37	8	sensor location - ship	all	3	Foremast.
38	8	sensor location - ship	all	4	Handheld.
39	8	sensor location - ship	all	5	Main deck
40	8	sensor location - ship	all	6	Mainmast yardarm
41	8	sensor location - ship	all	7	Mainmast.
42	8	sensor location - ship	all	8	Mast on wheelhouse top yardarm
43	8	sensor location - ship	all	9	Mast on wheelhouse top.
44	8	sensor location - ship	all	10	Meteorological mast.
45	8	sensor location - ship	all	11	Not fitted.
46	8	sensor location - ship	all	12	Other
47	8	sensor location - ship	all	13	Pressurised wheelhouse (closed and not vented to the outside).
48	8	sensor location - ship	all	14	Wheelhouse
49	8	sensor location - ship	all	15	Wheelhouse, not pressurised (vented to the outside).
50	9	sensor side - ship	all	0	Center
51	9	sensor side - ship	all	1	Port
52	9	sensor side - ship	all	2	Starboard
53	9	sensor side - ship	all	3	Windward side
54	10	sensor owner	all	0	National hydrometeorological / weather service
55	10	sensor owner	all	1	Other
56	10	sensor owner	all	2	Standards institute
57	11	sensor type - air temperature	air temperature	0	Alcohol / glycol
58	11	sensor type - air temperature	air temperature	1	Bead thermistor
59	11	sensor type - air temperature	air temperature	2	Capacitance bead
60	11	sensor type - air temperature	air temperature	3	Capacitance wire
61	11	sensor type - air temperature	air temperature	4	Chip thermistor
62	11	sensor type - air temperature	air temperature	5	Mercury
63	11	sensor type - air temperature	air temperature	6	Resistive sensor
64	11	sensor type - air temperature	air temperature	7	Rod thermistor
65	12	sensor type - barograph	pressure trend	0	Open Scale barograph with 1 day clock.
66	12	sensor type - barograph	pressure trend	1	Open Scale barograph with 2 day clock.
67	12	sensor type - barograph	pressure trend	2	Open Scale barograph with 3 day clock.
68	12	sensor type - barograph	pressure trend	3	Open Scale barograph with 4 day clock.
69	12	sensor type - barograph	pressure trend	4	Open Scale barograph with 5 day clock.
70	12	sensor type - barograph	pressure trend	5	Open Scale barograph with 6 day clock.
71	12	sensor type - barograph	pressure trend	6	Open Scale barograph with 7 day clock.
72	12	sensor type - barograph	pressure trend	7	Open Scale barograph with 8 day clock.
73	12	sensor type - barograph	pressure trend	8	Open Scale barograph with 9 day clock.
74	12	sensor type - barograph	pressure trend	9	Open Scale barograph.
75	12	sensor type - barograph	pressure trend	10	Other (specify in footnote).
76	12	sensor type - barograph	pressure trend	11	Small Scale barograph.
77	12	sensor type - barograph	pressure trend	12	Tendency obtained from an electronic digital barometer.
78	13	sensor type - barometer	pressure	0	Aneroid barometer (issued by the PMO or a NMS).
79	13	sensor type - barometer	pressure	1	Digital aneroid barometer (aka Precision Aneroid Barometer).
80	13	sensor type - barometer	pressure	2	Electronic digital barometer (consisting of one or more pressure transducers).
81	13	sensor type - barometer	pressure	3	Mercury barometer.
82	13	sensor type - barometer	pressure	4	Other
