element_name	type	external_table	description
source_id	int 		Unique record ID for dataset
product_id	varchar		ID for product
product_name	varchar		Name of source, e.g. International Comprehensive Ocean Atmosphere Data Set, RS92 GRUAN Data Product
product_code	varchar		Abbreviations / product code, e.g. ICOADS, RS92-GDP
product_version	varchar		Version number for dataset, e.g. Release 3.0.0
product_level	int (fk)	product_level	Level of product
product_uri	varchar		URI for product, either to original source or to CDS
description 	varchar		Description of dataset / comments
product_references	varchar[]		References describing the dataset
product_citation	varchar[]		Citation to use when using this product
product_status	int (fk)	product_status	Status of product, draft, pre-release, release
source_format 	int (fk)	source_format	Original format for data
source_format_version 	varchar		Version of original data format
source_file	varchar		Filename for data from source
source_file_checksum	varchar		Checksum of source datafile
data_centre 	int (fk)	institute	Data centre from which data sourced
data_centre_url 	varchar		URL for data centre
parent_organisation	int (fk)	organisation	Parent organisation for institute
data_policy_licence 	int (fk)	data_policy_licence	Data policy / licence
pi_name 	varchar		Name of PI responsible for dataset
pi_email 	varchar		Email address of PI
pi_url 	varchar		URL for PI
history	varchar		History of source
comments	varchar		Additional comments / footnotes
timestamp	timestamp with timezone		Date record created / created
maintenance_and_update_frequency	int (fk)	update_frequency	Frequency with which modifications and deletions are made to the data after it is first produced
field_numeric	int[] (fk)	source_configuration_fields	Fields to which following values apply
value_numeric	numeric[]		additional values
field_coded	int[] (fk)	source_configuration_fields	Fields to which following values apply
value_coded	int[] (fk)	source_configuration_codes	additional values
field_character	int[] (fk)	source_configuration_fields	Fields to which following values apply
value_character	varchar[]		additional values
field_timestamp	int[] (fk)	source_configuration_fields	Fields to which following values apply
value_timestamp	timestamp[]		additional values
