index	field	field_name	code_value	abbreviation	description
0	0	AWS Entry and Display Software			TBD
1	1	AWS Entry and Display Software Version			TBD
2	2	AWS Model			TBD
3	3	AWS Model Version			TBD
4	4	AWS Software			TBD
5	5	AWS Software version			TBD
6	9	Drogue type	NA		See BUFR code table 0 02 034
12	11	Lagrangian drifter drogue status	NA		See BUFR code table 0 22 060
15	11	LogBook software and version			TBD
16	16	Other instruments	0	BAT	Bathythermometer.
17	16	Other instruments	1	BT	Bathythermograph (towed).
18	16	Other instruments	2	FLM	Fluorometer.
19	16	Other instruments	3	LWR	Long wave radiation.
20	16	Other instruments	4	MAX	Maximum thermometer.
21	16	Other instruments	5	MIN	Minimum thermometer.
22	16	Other instruments	6	NTE	Nitrate sensor.
23	16	Other instruments	7	NTT	Nutrient sensor.
24	16	Other instruments	8	P	Pilot balloon equipment.
25	16	Other instruments	9	CO2	pCO2 system.
26	16	Other instruments	10	PLK	Plankton recorder.
27	16	Other instruments	11	PRS	Photosynthetic radiation sensor.
28	16	Other instruments	12	PYG	Pyrogeometer.
29	16	Other instruments	13	R	Radiosonde equipment.
30	16	Other instruments	14	RG	Rain gauge.
31	16	Other instruments	15	RSD	Radar storm and meteorological phenomena detection.
32	16	Other instruments	16	RT	Reversing thermometer.
33	16	Other instruments	17	SKY	Sky camera.
34	16	Other instruments	18	SLM	Solarimeter.
35	16	Other instruments	19	ST	Sea thermograph.
36	16	Other instruments	20	SWR	Short wave radiation.
37	16	Other instruments	21	TSD	Temperature/salinity/depth probe.
38	16	Other instruments	22	TUR	Turbidity sensor.
39	16	Other instruments	23	W	Radiowind or radarwind equipment.
40	16	Other instruments	24	WR	Wave Recorder
41	16	Other instruments	25	XBT	Expendable bathythermograph.
42	16	Other instruments	26	OT	Other (specify in footnote).
43	17	Station status	1		Planned
44	17	Station status	2		Pre-operational
45	17	Station status	3		Operational / Reporting
46	17	Station status	4		Partly reporting
47	17	Station status	5		Temporarily suspended
48	17	Station status	6		Closed
49	18	Type of meteorological reporting ship	0	70	Auxiliary ship
50	18	Type of meteorological reporting ship	1	75	Auxiliary ship (AWS)
51	18	Type of meteorological reporting ship	2	10	Selected
52	18	Type of meteorological reporting ship	3	15	Selected (AWS)
53	18	Type of meteorological reporting ship	4	40	Supplementary 
54	18	Type of meteorological reporting ship	5	45	Supplementary (AWS)
55	18	Type of meteorological reporting ship	6	80	Third party
56	18	Type of meteorological reporting ship	7	85	Third party (AWS)
57	18	Type of meteorological reporting ship	8	99	Unknown
58	18	Type of meteorological reporting ship	9	30	VOSClim - VOS Climate
59	18	Type of meteorological reporting ship	10	35	VOSClim (AWS) - VOS Climate (AWS)
