index	units	name	conventional_abbreviation	abbreviation_in_ASCII	abbreviation_in_ITA2	definition_in_base_units
0	1	metre 	m 	m 	M	NA
1	2	kilogram 	kg 	kg 	KG	NA
2	3	second 	s 	s 	S	NA
3	4	ampere 	A 	A 	A	NA
4	5	kelvin 	K 	K 	K	NA
5	6	mole	 mol 	mol	 MOL	NA
6	7	candela 	cd 	cd 	CD	NA
7	21	radian 	rad 	rad 	RAD	NA
8	22	steradian 	sr 	sr 	SR	NA
9	30	hertz 	Hz 	Hz 	HZ 	s1
10	31	newton 	N	 N 	N 	kg m s-2
11	32	pascal 	Pa 	Pa 	PAL 	kg m-1 s–2
12	33	joule 	J 	J 	J 	kg m2 s-2
13	34	watt	W 	W 	W 	kg m2 s-3
14	35	coulomb 	C 	C 	C 	A s
15	36	volt 	V 	V 	V 	kg m2 s-3 A–1
16	37	farad 	F 	F 	F 	kg-1 m–2 s4 A2
17	38	ohm 	Ω 	Ohm 	OHM 	kg m2 s-3 A–2
18	39	siemens 	S 	S 	SIE 	kg-1 m–2 s3 A2
19	40	weber 	Wb 	Wb 	WB 	kg m2 s-2 A–1
20	41	tesla 	T 	T 	T 	kg s-2 A–1
21	42	henry 	H 	H 	H 	kg m2 s-2 A–2
22	60	degree Celsius 	°C 	Cel 	CEL 	K+273.15
23	70	lumen 	lm 	lm 	LM 	cd sr
24	71	lux 	lx 	lx 	LX 	cd sr m-2
25	80	becquerel 	Bq 	Bq 	BQ s-1	NA
26	81	grey 	Gy 	Gy 	GY 	m2 s-2
27	82	sievert 	Sv 	Sv 	SV 	m2 s-2
28	110	degree (angle) 	° 	deg 	DEG	NA
29	111	minute (angle) 	' 	'	 MNT	NA
30	112	second (angle) 	" 	" 	SEC	NA
31	120	litre 	l or L 	l or L 	L	NA
32	130	minute (time) 	min 	min 	MIN	NA
33	131	hour 	h 	h 	HR	NA
34	132	day 	d 	d 	D	NA
35	150	tonne 	t	 t 	TNE	NA
36	160	electron volt 	eV 	eV 	EV	NA
37	161	atomic mass unit 	u 	u 	U	NA
38	170	astronomic unit 	AU 	AU 	ASU	NA
39	171	parsec 	pc 	pc 	PRS	NA
40	200	nautical mile	NA	NA	NA	NA
41	201	knot 	kt 	kt 	KT	NA
42	210	decibel (6) 	dB 	dB 	DB	NA
43	220	hectare 	ha 	ha 	HAR	NA
44	230	week	NA	NA	NA	NA
45	231	year 	a 	a 	ANN	NA
46	300	per cent 	\% 	\% 	PERCENT	NA
47	301	parts per thousand 	‰ 	0/00 	PERTHOU	NA
48	310	eighths of cloud 	okta 	okta 	OKTA	NA
49	320	degrees true 	° 	deg 	DEG	NA
50	321	degrees per second 	degree/s 	deg/s 	DEG/S	NA
51	350	degrees Celsius (8) 	°C 	C 	C	NA
52	351	degrees Celsius per metre 	°C/m 	C/m 	C/M	NA
53	352	degrees Celsius per 100 metres 	°C/100 m 	C/100 m 	C/100 M	NA
54	360	Dobson Unit (9) 	DU 	DU 	DU	NA
55	430	month 	mon 	mon 	MON	NA
56	441	per second (same as hertz)	 s-1	 /s 	/S	NA
57	442	per second squared	 s-2 	s–2	NA	NA
58	501	knots per 1000 metres 	kt/1000 m 	kt/km 	KT/KM	NA
59	510	foot 	ft 	ft 	FT	NA
60	511	inch 	in 	in 	IN	NA
61	520	decipascals per second (microbar per second)	dPa s-1 	dPa/s 	DPAL/S	NA
62	521	centibars per second 	cb s-1 	cb/s 	CB/S	NA
63	522	centibars per 12 hours	 cb/12 h 	cb/12 h 	CB/12 HR	NA
64	523	dekapascal 	daPa 	daPa 	DAPAL	NA
65	530	hectopascal 	hPa 	hPa 	HPAL	NA
66	531	hectopascals per second 	hPa s-1 	hPa/s 	HPAL/S	NA
67	532	hectopascals per hour 	hPa h-1 	hPa/h 	HPAL/HR	NA
68	533	hectopascals per 3 hours 	hPa/3 h 	hPa/3 h 	HPAL/3 HR	NA
69	535	nanobar = hPa 10-6 	nbar 	nbar 	NBAR	NA
70	620	grams per kilogram 	g kg-1 	g/kg 	G/KG	NA
71	621	grams per kilogram per second 	g kg-1 s–1 	g kg–1 s–1	NA	NA
72	622	kilograms per kilogram kg kg-1	 kg/kg 	KG/KG	NA	NA
73	623	kilograms per kilogram per second 	kg kg-1 s–1 	kg kg–1 s–1	NA	NA
74	624	kilograms per square metre 	kg m-2 	kg m–2	NA	NA
75	630	acceleration due to gravity 	g 	g	NA	NA
76	631	geopotential metre 	gpm 	gpm	NA	NA
77	710	millimetre 	mm 	mm 	MM	NA
78	711	millimetres per second 	mm s-1 	mm/s 	MM/S	NA
79	712	millimetres per hour 	mm h-1 	mm/h 	MM/HR	NA
