# Description:
# Source:
Value	Units	Conventional abbreviation	Abbreviation in IA5/ASCII	Abbreviation in ITA2	Definition in base units
1	metre 	m 	m 	M	NA
2	kilogram 	kg 	kg 	KG	NA
3	second 	s 	s 	S	NA
4	ampere 	A 	A 	A	NA
5	kelvin 	K 	K 	K	NA
6	mole	 mol 	mol	 MOL	NA
7	candela 	cd 	cd 	CD	NA
21	radian 	rad 	rad 	RAD	NA
22	steradian 	sr 	sr 	SR	NA
30	hertz 	Hz 	Hz 	HZ 	s1
31	newton 	N	 N 	N 	kg m s-2
32	pascal 	Pa 	Pa 	PAL 	kg m-1 s–2
33	joule 	J 	J 	J 	kg m2 s-2
34	watt	W 	W 	W 	kg m2 s-3
35	coulomb 	C 	C 	C 	A s
36	volt 	V 	V 	V 	kg m2 s-3 A–1
37	farad 	F 	F 	F 	kg-1 m–2 s4 A2
38	ohm 	Ω 	Ohm 	OHM 	kg m2 s-3 A–2
39	siemens 	S 	S 	SIE 	kg-1 m–2 s3 A2
40	weber 	Wb 	Wb 	WB 	kg m2 s-2 A–1
41	tesla 	T 	T 	T 	kg s-2 A–1
42	henry 	H 	H 	H 	kg m2 s-2 A–2
60	degree Celsius 	°C 	Cel 	CEL 	K+273.15
70	lumen 	lm 	lm 	LM 	cd sr
71	lux 	lx 	lx 	LX 	cd sr m-2
80	becquerel 	Bq 	Bq 	BQ s-1	NA
81	grey 	Gy 	Gy 	GY 	m2 s-2
82	sievert 	Sv 	Sv 	SV 	m2 s-2
110	degree (angle) 	° 	deg 	DEG	NA
111	minute (angle) 	' 	'	 MNT	NA
112	second (angle) 	" 	" 	SEC	NA
120	litre 	l or L 	l or L 	L	NA
130	minute (time) 	min 	min 	MIN	NA
131	hour 	h 	h 	HR	NA
132	day 	d 	d 	D	NA
150	tonne 	t	 t 	TNE	NA
160	electron volt 	eV 	eV 	EV	NA
161	atomic mass unit 	u 	u 	U	NA
170	astronomic unit 	AU 	AU 	ASU	NA
171	parsec 	pc 	pc 	PRS	NA
200	nautical mile	NA	NA	NA	NA
201	knot 	kt 	kt 	KT	NA
210	decibel (6) 	dB 	dB 	DB	NA
220	hectare 	ha 	ha 	HAR	NA
230	week	NA	NA	NA	NA
231	year 	a 	a 	ANN	NA
300	per cent 	\% 	\% 	PERCENT	NA
301	parts per thousand 	‰ 	0/00 	PERTHOU	NA
310	eighths of cloud 	okta 	okta 	OKTA	NA
320	degrees true 	° 	deg 	DEG	NA
321	degrees per second 	degree/s 	deg/s 	DEG/S	NA
350	degrees Celsius (8) 	°C 	C 	C	NA
351	degrees Celsius per metre 	°C/m 	C/m 	C/M	NA
352	degrees Celsius per 100 metres 	°C/100 m 	C/100 m 	C/100 M	NA
360	Dobson Unit (9) 	DU 	DU 	DU	NA
430	month 	mon 	mon 	MON	NA
441	per second (same as hertz)	 s-1	 /s 	/S	NA
442	per second squared	 s-2 	s–2	NA	NA
501	knots per 1000 metres 	kt/1000 m 	kt/km 	KT/KM	NA
510	foot 	ft 	ft 	FT	NA
511	inch 	in 	in 	IN	NA
520	decipascals per second (microbar per second)	dPa s-1 	dPa/s 	DPAL/S	NA
521	centibars per second 	cb s-1 	cb/s 	CB/S	NA
522	centibars per 12 hours	 cb/12 h 	cb/12 h 	CB/12 HR	NA
523	dekapascal 	daPa 	daPa 	DAPAL	NA
530	hectopascal 	hPa 	hPa 	HPAL	NA
531	hectopascals per second 	hPa s-1 	hPa/s 	HPAL/S	NA
532	hectopascals per hour 	hPa h-1 	hPa/h 	HPAL/HR	NA
533	hectopascals per 3 hours 	hPa/3 h 	hPa/3 h 	HPAL/3 HR	NA
535	nanobar = hPa 10-6 	nbar 	nbar 	NBAR	NA
620	grams per kilogram 	g kg-1 	g/kg 	G/KG	NA
621	grams per kilogram per second 	g kg-1 s–1 	g kg–1 s–1	NA	NA
622	kilograms per kilogram kg kg-1	 kg/kg 	KG/KG	NA	NA
623	kilograms per kilogram per second 	kg kg-1 s–1 	kg kg–1 s–1	NA	NA
624	kilograms per square metre 	kg m-2 	kg m–2	NA	NA
630	acceleration due to gravity 	g 	g	NA	NA
631	geopotential metre 	gpm 	gpm	NA	NA
710	millimetre 	mm 	mm 	MM	NA
711	millimetres per second 	mm s-1 	mm/s 	MM/S	NA
712	millimetres per hour 	mm h-1 	mm/h 	MM/HR	NA
713	millimetres to the sixth power per cubic metre	mm6 m-3 	mm6 m–3	NA	NA
715	centimetre 	cm 	cm 	CM	NA
716	centimetres per second 	cm s-1 	cm/s 	CM/S	NA
717	centimetres per hour 	cm h-1 	cm/h 	CM/HR	NA
720	decimetre 	dm 	dm 	DM	NA
731	metres per second 	m s-1 	m/s 	M/S	NA
732	metres per second per metre 	m s-1/m 	m s–1/m	NA	NA
733	metres per second per 1000 metres 	m s-1/1000 m 	m s–1/km	NA	NA
734	square metres	 m2 	m2 	M2	NA
735	square metres per second 	m2 s-1 	m2/s 	M2/S	NA
740	kilometre 	km 	km 	KM	NA
741	kilometres per hour 	km h-1 	km/h 	KM/HR	NA
742	kilometres per day 	km/d 	km/d 	KM/D	NA
743	per metre 	m-1 	m–1 	/M	NA
750	becquerels per litre 	Bq l-1 	Bq/l 	BQ/L	NA
751	becquerels per square metre 	Bq m-2 	Bq m–2 	BQ/M2	NA
752	becquerels per cubic metre 	Bq m-3 	Bq m–3 	BQ/M3	NA
753	millisievert 	mSv 	mSv 	MSV	NA
760	metres per second squared 	m s-2 	m s–2	NA	NA
761	square metres second 	m2 s 	m2 s	NA	NA
762	square metres per second squared 	m2 s-2 	m2 s–2	NA	NA
763	square metres per radian second 	m2 rad-1 s 	m2 rad–1 s	NA	NA
764	square metres per hertz 	m2 Hz-1 	m2/Hz	NA	NA
765	cubic metres 	m3 	m3	NA	NA
766	cubic metres per second 	m3 s-1 	m3/s	NA	NA
767	cubic metres per cubic metre 	m3 m-3 	m3 m–3	NA	NA
768	metres to the fourth power 	m4 	m4	NA	NA
769	metres to the two thirds power per second	m2/3 s-1 	m2/3 s–1	NA	NA
772	logarithm per metre 	log (m-1) 	log (m–1)	NA	NA
773	logarithm per square metre 	log (m-2) 	log (m–2)	NA	NA
775	kilograms per metre 	kg m-1 	kg/m	NA	NA
776	kilograms per square metre per second 	kg m-2 s–1 	kg m–2 s–1	NA	NA
777	kilograms per cubic metre 	kg m-3 	kg m–3	NA	NA
778	per square kilogram per second 	kg-2 s–1 	kg–2 s–1	NA	NA
779	seconds per metre 	s m-1 	s/m	NA	NA
785	kelvin metres per second 	K m s-1 	K m s–1	NA	NA
786	kelvins per metre 	K m-1 	K/m	NA	NA
